Month,Year,Max,Avg,Min
Jul,2017,94,84.9,81
Aug,2017,85,82.5,81
Sep,2017,87,82.6,79
Oct,2017,94,80.3,72
Nov,2017,89,74.3,65
Dec,2017,77,60.5,49
Jan,2018,68,54.1,44
Feb,2018,81,65.6,54
Mar,2018,85,70.9,60
Apr,2018,95,82,72
May,2018,99,89,81
Jun,2018,106,94.3,83
Jul,2018,97,90.8,86
Aug,2018,95,88.8,81
Sep,2018,84,80.8,76
Oct,2018,95,82.8,73
Nov,2018,87,73,63
Dec,2018,78,64.3,54
Jan,2019,73,55.3,42
Feb,2019,68,59.3,53
Mar,2019,74,61.3,46
Apr,2019,91,79.8,67
May,2019,105,91.5,78
Jun,2019,109,98,84
Jul,2019,106,97,89
Aug,2019,98,90.3,84
Sep,2019,91,85.8,81
Oct,2019,90,82.1,77
Nov,2019,89,76.1,64
Dec,2019,74,60.1,51
Jan,2020,68,51.4,38
Feb,2020,67,54.3,45
Mar,2020,82,71.5,60
Apr,2020,91,78.1,66
May,2020,101,89.1,78
Jun,2020,95,85.1,72
Jul,2020,100,93,86
Aug,2020,97,86.4,82
Sep,2020,94,86.4,79
Oct,2020,98,84.4,74
Nov,2020,86,68.8,56
Dec,2020,80,61.8,49
Jan,2021,65,50.6,37
Feb,2021,79,59.6,45
Mar,2021,83,69.8,58
Apr,2021,93,81,70
May,2021,105,93.1,84
Jun,2021,92,80.9,69
Jul,2021,108,97.3,84
Aug,2021,90,83.4,77
Sep,2021,78,77,74
Oct,2021,92,85.5,81
Nov,2021,87,71,59
Dec,2021,73,62.9,56
Jan,2022,68,52.5,42
Feb,2022,69,58.9,47
Mar,2022,77,64.4,51
Apr,2022,97,82.4,71
May,2022,102,91.8,83
Jun,2022,105,94.3,79
Jul,2022,88,83,79
